Time(ms) RK.x RK.y RK.z RA.x RA.y RA.z RT.x RT.y RT.z LK.x LK.y LK.z LA.x LA.y LA.z LT.x LT.y LT.z RHAngle.x RHAngle.y RHAngle.z RKAngle.x RKAngle.y RKAngle.z RAAngle.x RAAngle.y RAAngle.z LHAngle.x LHAngle.y LHAngle.z LKAngle.x LKAngle.y LKAngle.z LAAngle.x LAAngle.y LAAngle.z RHQuat.w RHQuat.x RHQuat.y RHQuat.z RKQuat.w RKQuat.x RKQuat.y RKQuat.z RAQuat.w RAQuat.x RAQuat.y RAQuat.z LHQuat.w LHQuat.x LHQuat.y LHQuat.z LKQuat.w LKQuat.x LKQuat.y LKQuat.z LAQuat.w LAQuat.x LAQuat.y LAQuat.z HQuat.w HQuat.x HQuat.y HQuat.z 
49 -0.01191637 0.996805 -8.55882 0.1005318 0.5058283 -8.549164 0.10053177177906 0.505828261375427 -8.54916381835938 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -4.121191 19.89974 -157.4921 -2.142517 -0.05389404 0.7005955 5.522831 5.324467 0.1396912 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.03811667 -0.7000751 -0.003672557 -0.713042 -0.04684865 -0.6995032 0.01394778 -0.7129562 -0.4428836 0.5020449 0.5099793 0.5401179 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2491 0.0136032 1.001374 -8.51332 0.1506439 0.5199906 -8.456002 0.150643914937973 0.519990563392639 -8.4560022354126 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -0.3967876 21.29693 -151.0821 -2.723602 0.3164308 1.571342 3.785451 9.126914 -0.003515216 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.05312831 -0.6888173 -0.06231903 -0.7202951 -0.05750461 -0.6866077 -0.03171754 -0.7240565 -0.4362783 0.4869218 0.5281152 0.5419074 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3051 0.0268089 1.011222 -8.469735 0.1880188 0.5473512 -8.357346 0.188018798828125 0.547351241111755 -8.35734558105469 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 1.721054 21.4182 -145.2662 -1.677765 2.472593 1.493311 4.005121 11.82365 0.1743529 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07679051 -0.6818919 -0.1100155 -0.7190437 -0.07249351 -0.6669042 -0.08758567 -0.736419 -0.4289734 0.4693661 0.5705447 0.5197663 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3484 0.04819715 1.027928 -8.424031 0.2267059 0.5853753 -8.262544 0.22670590877533 0.585375308990479 -8.26254367828369 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 4.110502 18.68685 -139.7467 -2.414825 4.108725 1.473159 4.411788 12.71173 -1.02238 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.09903903 -0.6874006 -0.1653786 -0.7002302 -0.09525369 -0.6611828 -0.1374502 -0.7313495 -0.4161427 0.4700445 0.6070309 0.4872349 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3816 0.0640045 1.052542 -8.375806 0.2552017 0.6387024 -8.161386 0.255201697349548 0.638702392578125 -8.16138553619385 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 5.278534 15.74945 -133.3881 -2.988403 6.515862 1.507987 5.921243 13.8948 -2.273814 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.1314718 -0.6904294 -0.2193221 -0.6766984 -0.1214536 -0.6503998 -0.1892913 -0.7255332 -0.4020886 0.4639905 0.6491587 0.449034 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4190 0.074559 1.078779 -8.336509 0.2732345 0.6941043 -8.078925 0.27323454618454 0.694104313850403 -8.07892513275146 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 5.76153 13.69322 -127.6544 -3.557648 9.05873 1.79835 7.367711 15.91421 -3.447245 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.1619978 -0.6877921 -0.2631228 -0.6568605 -0.1466455 -0.6321233 -0.2406711 -0.7217986 0.3891367 -0.4503264 -0.6900799 -0.4117882 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4588 0.08751902 1.109219 -8.301297 0.2978172 0.7629179 -8.001888 0.297817200422287 0.762917876243591 -8.00188827514648 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 5.271803 10.19451 -122.3071 -3.757233 12.09753 1.205076 8.406559 16.73235 -4.723124 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.1940909 -0.6920868 -0.3044913 -0.6250042 -0.1720936 -0.6197898 -0.2889887 -0.7090349 0.3747548 -0.4484303 -0.72155 -0.3712622 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4890 0.09615245 1.139572 -8.272356 0.3162459 0.8389874 -7.933234 0.316245943307877 0.838987350463867 -7.93323421478271 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 4.633052 8.022606 -117.268 -3.400665 15.11059 -0.09527588 9.848825 17.99547 -6.166087 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.2238619 -0.688879 -0.3392357 -0.6002095 -0.1920533 -0.5987634 -0.3406481 -0.6989689 0.3621134 -0.4298575 -0.7604211 -0.325357 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
