Time(ms) RK.x RK.y RK.z RA.x RA.y RA.z RT.x RT.y RT.z LK.x LK.y LK.z LA.x LA.y LA.z LT.x LT.y LT.z RHAngle.x RHAngle.y RHAngle.z RKAngle.x RKAngle.y RKAngle.z RAAngle.x RAAngle.y RAAngle.z LHAngle.x LHAngle.y LHAngle.z LKAngle.x LKAngle.y LKAngle.z LAAngle.x LAAngle.y LAAngle.z RHQuat.w RHQuat.x RHQuat.y RHQuat.z RKQuat.w RKQuat.x RKQuat.y RKQuat.z RAQuat.w RAQuat.x RAQuat.y RAQuat.z LHQuat.w LHQuat.x LHQuat.y LHQuat.z LKQuat.w LKQuat.x LKQuat.y LKQuat.z LAQuat.w LAQuat.x LAQuat.y LAQuat.z HQuat.w HQuat.x HQuat.y HQuat.z 
49 -0.01191637 0.996805 -8.55882 0.1005318 0.5058283 -8.549164 0.10053177177906 0.505828261375427 -8.54916381835938 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -4.121191 19.89974 -157.4921 -2.142517 -0.05389404 0.7005955 5.522831 5.324467 0.1396912 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.03811667 -0.7000751 -0.003672557 -0.713042 -0.04684865 -0.6995032 0.01394778 -0.7129562 -0.4428836 0.5020449 0.5099793 0.5401179 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2202 0.005956254 0.9983602 -8.534873 0.1279503 0.5104558 -8.505509 0.12795028090477 0.510455846786499 -8.50550937652588 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -1.673485 20.17223 -154.2855 -3.371948 -0.7775269 1.437741 3.011687 7.938779 -0.2482708 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.04266196 -0.6973463 -0.03781381 -0.7144641 -0.05431113 -0.7014745 -0.006252818 -0.7105951 -0.438578 0.5055429 0.5007964 0.5488894 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2491 0.0136032 1.001374 -8.51332 0.1506439 0.5199906 -8.456002 0.150643914937973 0.519990563392639 -8.4560022354126 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -0.3967876 21.29693 -151.0821 -2.723602 0.3164308 1.571342 3.785451 9.126914 -0.003515216 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.05312831 -0.6888173 -0.06231903 -0.7202951 -0.05750461 -0.6866077 -0.03171754 -0.7240565 -0.4362783 0.4869218 0.5281152 0.5419074 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2827 0.01976773 1.005605 -8.49173 0.1681686 0.5312889 -8.409286 0.168168634176254 0.531288862228394 -8.40928649902344 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 0.5678024 21.28817 -148.2348 -2.245148 1.243575 1.731171 3.876542 10.3204 0.02867842 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.06523228 -0.6862937 -0.08546218 -0.7193349 -0.06373268 -0.6772149 -0.05845196 -0.7306861 -0.4325199 0.4773056 0.5503889 0.5312051 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3051 0.0268089 1.011222 -8.469735 0.1880188 0.5473512 -8.357346 0.188018798828125 0.547351241111755 -8.35734558105469 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 1.721054 21.4182 -145.2662 -1.677765 2.472593 1.493311 4.005121 11.82365 0.1743529 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07679051 -0.6818919 -0.1100155 -0.7190437 -0.07249351 -0.6669042 -0.08758567 -0.736419 -0.4289734 0.4693661 0.5705447 0.5197663 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3275 0.03603971 1.018452 -8.447395 0.2051727 0.5639819 -8.310841 0.205172702670097 0.563981890678406 -8.31084060668945 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 2.85907 20.39278 -142.5403 -1.951294 3.205673 1.526012 4.088013 12.43344 -0.4967754 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.08803315 -0.6833796 -0.1361671 -0.7118298 -0.08372108 -0.6621648 -0.1123665 -0.7361406 -0.4215576 0.4673334 0.5896412 0.5061747 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3484 0.04819715 1.027928 -8.424031 0.2267059 0.5853753 -8.262544 0.22670590877533 0.585375308990479 -8.26254367828369 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 4.110502 18.68685 -139.7467 -2.414825 4.108725 1.473159 4.411788 12.71173 -1.02238 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.09903903 -0.6874006 -0.1653786 -0.7002302 -0.09525369 -0.6611828 -0.1374502 -0.7313495 -0.4161427 0.4700445 0.6070309 0.4872349 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3647 0.05630339 1.038135 -8.402297 0.2399185 0.606545 -8.218418 0.239918485283852 0.606544971466064 -8.21841812133789 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 4.850659 17.40534 -136.9407 -2.892487 4.964208 1.638718 5.007732 13.37578 -1.754344 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.1122933 -0.6888201 -0.1904067 -0.6904078 -0.1064887 -0.6584997 -0.1611017 -0.7273824 -0.4102975 0.4693555 0.6263281 0.468055 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3816 0.0640045 1.052542 -8.375806 0.2552017 0.6387024 -8.161386 0.255201697349548 0.638702392578125 -8.16138553619385 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 5.278534 15.74945 -133.3881 -2.988403 6.515862 1.507987 5.921243 13.8948 -2.273814 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.1314718 -0.6904294 -0.2193221 -0.6766984 -0.1214536 -0.6503998 -0.1892913 -0.7255332 -0.4020886 0.4639905 0.6491587 0.449034 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3990 0.07117765 1.068063 -8.351585 0.267839 0.672398 -8.109573 0.267839014530182 0.672397971153259 -8.10957336425781 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 5.910476 14.81993 -129.8311 -3.290802 7.50881 1.498073 6.940955 14.80119 -2.972422 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.1485313 -0.6867536 -0.2472354 -0.6672205 -0.1364388 -0.6399242 -0.2211327 -0.7231753 0.393482 -0.4554229 -0.6762147 -0.4248487 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
