Time(ms) RK.x RK.y RK.z RA.x RA.y RA.z RT.x RT.y RT.z LK.x LK.y LK.z LA.x LA.y LA.z LT.x LT.y LT.z RHAngle.x RHAngle.y RHAngle.z RKAngle.x RKAngle.y RKAngle.z RAAngle.x RAAngle.y RAAngle.z LHAngle.x LHAngle.y LHAngle.z LKAngle.x LKAngle.y LKAngle.z LAAngle.x LAAngle.y LAAngle.z RHQuat.w RHQuat.x RHQuat.y RHQuat.z RKQuat.w RKQuat.x RKQuat.y RKQuat.z RAQuat.w RAQuat.x RAQuat.y RAQuat.z LHQuat.w LHQuat.x LHQuat.y LHQuat.z LKQuat.w LKQuat.x LKQuat.y LKQuat.z LAQuat.w LAQuat.x LAQuat.y LAQuat.z HQuat.w HQuat.x HQuat.y HQuat.z 
43 0.02913054 0.997709 -8.545449 -0.1584504 0.5304078 -8.560866 -0.158450350165367 0.530407786369324 -8.560866355896 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 1.346012 20.09673 -155.7807 -42.74872 1.219547 3.751038 -26.86631 17.07551 -21.22077 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.01508136 -0.6970306 -0.04770695 -0.715294 -0.2420839 -0.629149 0.2395317 -0.6987076 -0.03204298 -0.5451565 -0.2096961 -0.8110524 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2079 0.1112038 1.009166 -8.547327 -0.004827896 0.5189303 -8.548108 -0.00482789613306522 0.518930315971375 -8.54810810089111 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 11.94472 15.95377 -156.7675 -44.86288 3.649569 2.361857 -0.3428447 7.063844 -10.72911 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.05069888 -0.7144731 -0.1143333 -0.6883941 -0.2011221 -0.6559058 0.182625 -0.704263 0.2018519 -0.5548564 -0.3998443 -0.7010818 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2371 0.146743 1.018913 -8.552407 0.1640297 0.5155861 -8.539819 0.164029702544212 0.515586137771606 -8.53981876373291 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 16.6996 14.14234 -157.267 -34.14819 1.728788 1.714075 -2.283244 5.381261 -3.300181 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.08177775 -0.7206426 -0.1418915 -0.6736868 -0.1212489 -0.7007606 0.08108361 -0.6983261 0.3177226 -0.5747315 -0.4212806 -0.6255075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2684 0.1842888 1.033144 -8.555211 0.3189316 0.5477147 -8.55013 0.318931579589844 0.547714710235596 -8.55012989044189 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 21.7828 11.11912 -157.0477 -25.60657 0.4532813 2.565941 -10.90147 4.833261 1.346657 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.1105263 -0.7312272 -0.175856 -0.649743 -0.04131105 -0.7343621 -0.006108352 -0.6774725 0.396845 -0.5947119 -0.4178597 -0.5605585 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3065 0.2423386 1.063201 -8.568976 0.4665368 0.6121466 -8.577984 0.4665367603302 0.612146615982056 -8.57798385620117 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 30.37105 8.210361 -157.1278 -23.18286 1.150125 2.274844 -13.43785 4.668551 6.602976 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.165263 -0.7338917 -0.224277 -0.6195091 0.02363065 -0.7485164 -0.07322616 -0.6586375 -0.468188 0.5956585 0.4197943 0.4997644 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3624 0.3370598 1.143871 -8.575459 0.5876862 0.7073485 -8.596204 0.587686240673065 0.707348465919495 -8.59620380401611 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 45.64953 -0.4433441 -151.1687 -35.86401 5.945339 5.458618 -14.8047 5.242522 7.861209 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.2378799 -0.7296389 -0.3369573 -0.5454361 0.05232773 -0.7492724 -0.08247527 -0.65502 -0.4969789 0.5866052 0.4129507 0.4882407 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4192 0.3889489 1.216974 -8.573953 0.7030495 0.8248949 -8.611516 0.703049540519714 0.824894905090332 -8.61151599884033 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 54.25918 -12.28834 -140.5762 -38.41803 12.63634 8.571094 -15.32868 7.288051 11.39374 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.2629928 -0.7241393 -0.4298813 -0.4708075 0.1185518 -0.7436757 -0.1338404 -0.6441889 -0.5666688 0.5571109 0.413981 0.4439985 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4698 0.4154061 1.273459 -8.564939 0.7951295 0.9447731 -8.6046 0.795129537582397 0.944773077964783 -8.60459995269775 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 59.43813 -18.77265 -131.8837 -35.78815 13.80561 10.02945 -17.78709 10.35842 14.73362 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.2772245 0.69882 0.4918202 0.439216 0.1713809 -0.7359066 -0.1982269 -0.6243212 -0.6260529 0.5368806 0.4183853 0.3804887 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
