Time(ms) RK.x RK.y RK.z RA.x RA.y RA.z RT.x RT.y RT.z LK.x LK.y LK.z LA.x LA.y LA.z LT.x LT.y LT.z RHAngle.x RHAngle.y RHAngle.z RKAngle.x RKAngle.y RKAngle.z RAAngle.x RAAngle.y RAAngle.z LHAngle.x LHAngle.y LHAngle.z LKAngle.x LKAngle.y LKAngle.z LAAngle.x LAAngle.y LAAngle.z RHQuat.w RHQuat.x RHQuat.y RHQuat.z RKQuat.w RKQuat.x RKQuat.y RKQuat.z RAQuat.w RAQuat.x RAQuat.y RAQuat.z LHQuat.w LHQuat.x LHQuat.y LHQuat.z LKQuat.w LKQuat.x LKQuat.y LKQuat.z LAQuat.w LAQuat.x LAQuat.y LAQuat.z HQuat.w HQuat.x HQuat.y HQuat.z 
43 0.02913054 0.997709 -8.545449 -0.1584504 0.5304078 -8.560866 -0.158450350165367 0.530407786369324 -8.560866355896 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 1.346012 20.09673 -155.7807 -42.74872 1.219547 3.751038 -26.86631 17.07551 -21.22077 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.01508136 -0.6970306 -0.04770695 -0.715294 -0.2420839 -0.629149 0.2395317 -0.6987076 -0.03204298 -0.5451565 -0.2096961 -0.8110524 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1798 0.07777786 1.00291 -8.542803 -0.1081932 0.5348767 -8.555216 -0.10819324105978 0.534876704216003 -8.55521583557129 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 7.549154 17.25004 -156.13 -48.9209 2.787168 3.821459 -4.703562 9.766604 -14.71412 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.02096219 -0.7100288 -0.08960354 -0.6981343 -0.2443272 -0.6315525 0.2376389 -0.696401 0.1074062 -0.5515456 -0.3457026 -0.7514998 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1970 0.09930573 1.006603 -8.545925 -0.05123064 0.5259149 -8.554444 -0.0512306429445744 0.525914907455444 -8.55444431304932 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 10.37872 16.51327 -156.5772 -47.4194 3.150378 3.278843 -1.194621 7.76621 -12.3278 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.04040276 -0.7124335 -0.1052165 -0.6926299 -0.2225888 -0.6445661 0.2122463 -0.6999578 0.1640772 -0.5550154 -0.3796968 -0.7217116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2119 0.1158546 1.010273 -8.547779 0.009802995 0.5177814 -8.5477 0.00980299524962902 0.517781376838684 -8.54769992828369 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 12.56712 15.82762 -156.8106 -44.30652 3.548804 2.340385 -1.603587 7.12186 -10.79356 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.05472735 -0.7146669 -0.1179707 -0.6872696 -0.1966928 -0.6586385 0.1769006 -0.7044247 0.2018519 -0.5548564 -0.3998443 -0.7010818 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2229 0.1318543 1.014431 -8.550213 0.07267608 0.5141921 -8.542876 0.0726760774850845 0.5141921043396 -8.54287624359131 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 14.702 15.05993 -157.0762 -40.9447 2.914781 1.903404 -0.9187419 6.027641 -7.15977 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.06892733 -0.7172796 -0.1301141 -0.6810507 -0.1690459 -0.6759406 0.1397346 -0.7035643 0.256774 -0.5646061 -0.4121973 -0.6673689 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2333 0.142321 1.017501 -8.551996 0.1337883 0.5139264 -8.540384 0.133788302540779 0.513926386833191 -8.54038429260254 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 16.10282 14.38321 -157.2505 -36.51056 2.129839 1.728444 -3.44401 5.764818 -5.036723 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.07812946 -0.7198973 -0.1381918 -0.6756828 -0.1375868 -0.6934063 0.1002249 -0.7001523 0.2977242 -0.5717756 -0.4185913 -0.6396993 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2421 0.1537895 1.021268 -8.553123 0.1888176 0.5188516 -8.541055 0.188817620277405 0.518851637840271 -8.54105472564697 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 17.65837 13.79591 -157.2897 -33.06519 1.317669 1.860885 -4.28599 5.243401 -2.640818 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.08767924 -0.7215639 -0.1477641 -0.6706893 -0.1116097 -0.7060612 0.07040995 -0.6957471 0.3286118 -0.5781596 -0.4208602 -0.6169467 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2525 0.1628937 1.024492 -8.554348 0.2479935 0.5280341 -8.545211 0.247993484139442 0.528034090995789 -8.54521083831787 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 18.88027 12.94103 -157.3389 -28.46942 0.176797 2.224621 -7.342021 4.887657 -0.2850139 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.09498706 -0.7250705 -0.1555509 -0.6641195 -0.07426006 -0.7230107 0.03012343 -0.6861737 0.3651884 -0.5897829 -0.4165471 -0.5876077 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2647 0.1801087 1.031381 -8.554605 0.3088951 0.5443796 -8.548314 0.308895111083984 0.544379591941834 -8.54831409454346 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 21.19491 11.32351 -157.0558 -25.69373 0.1085768 2.536779 -9.866527 4.726739 1.351831 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.1069206 -0.7308879 -0.1723011 -0.6516776 -0.04755174 -0.7329956 0.0004588251 -0.6785696 0.3917021 -0.5946515 -0.4174373 -0.5645404 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2817 0.2024086 1.041329 -8.559 0.3682618 0.5656351 -8.557062 0.368261754512787 0.565635085105896 -8.55706214904785 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 24.3254 9.474928 -157.0355 -24.43039 0.7230198 2.452675 -11.84257 4.464608 3.439291 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.1258719 -0.7367744 -0.1915327 -0.6361095 -0.0205391 -0.7410279 -0.02933053 -0.6705195 0.4204712 -0.5990953 -0.4174158 -0.5385663 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
