Time(ms) RK.x RK.y RK.z RA.x RA.y RA.z RT.x RT.y RT.z LK.x LK.y LK.z LA.x LA.y LA.z LT.x LT.y LT.z RHAngle.x RHAngle.y RHAngle.z RKAngle.x RKAngle.y RKAngle.z RAAngle.x RAAngle.y RAAngle.z LHAngle.x LHAngle.y LHAngle.z LKAngle.x LKAngle.y LKAngle.z LAAngle.x LAAngle.y LAAngle.z RHQuat.w RHQuat.x RHQuat.y RHQuat.z RKQuat.w RKQuat.x RKQuat.y RKQuat.z RAQuat.w RAQuat.x RAQuat.y RAQuat.z LHQuat.w LHQuat.x LHQuat.y LHQuat.z LKQuat.w LKQuat.x LKQuat.y LKQuat.z LAQuat.w LAQuat.x LAQuat.y LAQuat.z HQuat.w HQuat.x HQuat.y HQuat.z 
43 0.02913054 0.997709 -8.545449 -0.1584504 0.5304078 -8.560866 -0.158450350165367 0.530407786369324 -8.560866355896 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 1.346012 20.09673 -155.7807 -42.74872 1.219547 3.751038 -26.86631 17.07551 -21.22077 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.01508136 -0.6970306 -0.04770695 -0.715294 -0.2420839 -0.629149 0.2395317 -0.6987076 -0.03204298 -0.5451565 -0.2096961 -0.8110524 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
164 0.02913054 0.9977092 -8.545449 -0.1585526 0.5304302 -8.560273 -0.158552587032318 0.530430197715759 -8.56027317047119 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 1.340027 20.03182 -155.8 -42.74872 1.21955 3.70687 -26.8914 17.02987 -21.18904 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.01510718 -0.697419 -0.04769873 -0.7149153 -0.2423533 -0.6292413 0.2392892 -0.6986142 -0.03215834 -0.5456029 -0.2096783 -0.8107523 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
224 0.02913054 0.9977092 -8.545449 -0.1586777 0.5304468 -8.559171 -0.158677712082863 0.530446767807007 -8.55917072296143 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 1.333431 19.96013 -155.8214 -42.74875 1.281799 3.57727 -26.86537 17.04542 -21.22761 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.01513577 -0.6978477 -0.04768969 -0.7144968 -0.2431431 -0.6295115 0.2385775 -0.6983398 -0.03232604 -0.5460376 -0.2102084 -0.8103155 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
264 0.02913054 0.9977092 -8.545449 -0.1587097 0.5304478 -8.558761 -0.15870974957943 0.530447840690613 -8.55876064300537 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 1.330301 19.9262 -155.8315 -42.74704 1.312094 3.529039 -26.90891 17.08691 -21.18052 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.01514934 -0.6980507 -0.04768541 -0.7142986 -0.2435373 -0.6298384 0.2382292 -0.6980264 -0.03248148 -0.5466372 -0.2101847 -0.8099111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
298 0.02913054 0.9977092 -8.545449 -0.1587128 0.5304462 -8.558671 -0.158712804317474 0.530446171760559 -8.55867099761963 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 1.32901 19.91222 -155.8356 -42.74609 1.324458 3.518926 -26.93302 17.08421 -21.15519 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.01515492 -0.6981342 -0.04768361 -0.7142169 -0.2436514 -0.6299783 0.2381298 -0.6978941 -0.03257122 -0.5469825 -0.2101706 -0.8096781 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
330 0.02913054 0.9977092 -8.545449 -0.1587273 0.5304478 -8.558525 -0.158727303147316 0.530447840690613 -8.55852508544922 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 1.32901 19.91222 -155.8356 -42.74466 1.306385 3.509261 -26.95042 17.0498 -21.13487 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.01515492 -0.6981342 -0.04768361 -0.7142169 -0.2437922 -0.6301838 0.2380085 -0.6977008 -0.03265023 -0.5472876 -0.2101585 -0.8094718 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
364 0.02913054 0.9977092 -8.545449 -0.1587403 0.5304509 -8.558434 -0.158740267157555 0.530450940132141 -8.55843448638916 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 1.32901 19.91222 -155.8356 -42.74377 1.286756 3.507104 -26.95036 17.0786 -21.14753 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.01515492 -0.6981342 -0.04768361 -0.7142169 -0.2438565 -0.6303039 0.2379541 -0.6975884 -0.03265023 -0.5472876 -0.2101585 -0.8094718 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
399 0.02913054 0.9977092 -8.545449 -0.1587403 0.5304509 -8.558434 -0.158740267157555 0.530450940132141 -8.55843448638916 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 1.32901 19.91222 -155.8356 -42.74377 1.286756 3.507104 -26.93708 17.11406 -21.16737 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.01515492 -0.6981342 -0.04768361 -0.7142169 -0.2438565 -0.6303039 0.2379541 -0.6975884 -0.03259061 -0.5471882 -0.2102121 -0.8095273 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
433 0.02913054 0.9977092 -8.545449 -0.1587189 0.5304444 -8.558517 -0.158718898892403 0.530444383621216 -8.55851745605469 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 1.331182 19.93584 -155.8286 -42.74377 1.286756 3.507104 -26.91285 17.11998 -21.17005 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.01514553 -0.697993 -0.04768658 -0.7143548 -0.2438565 -0.6303039 0.2379541 -0.6975884 -0.03246674 -0.5470977 -0.210362 -0.8095546 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
465 0.02913054 0.997709 -8.545449 -0.1587059 0.5304404 -8.558567 -0.158705934882164 0.530440449714661 -8.55856704711914 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 1.334665 19.97359 -155.8174 -42.74377 1.264125 3.5071 -26.91593 17.09555 -21.15367 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.01513043 -0.6977674 -0.04769136 -0.7145754 -0.2438565 -0.6303039 0.2379541 -0.6975884 -0.03246674 -0.5470977 -0.210362 -0.8095546 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
