Time(ms) RK.x RK.y RK.z RA.x RA.y RA.z RT.x RT.y RT.z LK.x LK.y LK.z LA.x LA.y LA.z LT.x LT.y LT.z RHAngle.x RHAngle.y RHAngle.z RKAngle.x RKAngle.y RKAngle.z RAAngle.x RAAngle.y RAAngle.z LHAngle.x LHAngle.y LHAngle.z LKAngle.x LKAngle.y LKAngle.z LAAngle.x LAAngle.y LAAngle.z RHQuat.w RHQuat.x RHQuat.y RHQuat.z RKQuat.w RKQuat.x RKQuat.y RKQuat.z RAQuat.w RAQuat.x RAQuat.y RAQuat.z LHQuat.w LHQuat.x LHQuat.y LHQuat.z LKQuat.w LKQuat.x LKQuat.y LKQuat.z LAQuat.w LAQuat.x LAQuat.y LAQuat.z HQuat.w HQuat.x HQuat.y HQuat.z 
43 0.02913054 0.997709 -8.545449 -0.1584504 0.5304078 -8.560866 -0.158450350165367 0.530407786369324 -8.560866355896 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 1.346012 20.09673 -155.7807 -42.74872 1.219547 3.751038 -26.86631 17.07551 -21.22077 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.01508136 -0.6970306 -0.04770695 -0.715294 -0.2420839 -0.629149 0.2395317 -0.6987076 -0.03204298 -0.5451565 -0.2096961 -0.8110524 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1970 0.09930573 1.006603 -8.545925 -0.05123064 0.5259149 -8.554444 -0.0512306429445744 0.525914907455444 -8.55444431304932 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 10.37872 16.51327 -156.5772 -47.4194 3.150378 3.278843 -1.194621 7.76621 -12.3278 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.04040276 -0.7124335 -0.1052165 -0.6926299 -0.2225888 -0.6445661 0.2122463 -0.6999578 0.1640772 -0.5550154 -0.3796968 -0.7217116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2187 0.1270119 1.013102 -8.549477 0.05302963 0.5148103 -8.544312 0.0530296266078949 0.51481032371521 -8.54431247711182 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 14.05762 15.35366 -156.9972 -42.02206 3.120633 2.018363 -0.49528 6.168766 -7.907786 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.06470447 -0.7161514 -0.1263727 -0.6833528 -0.1773875 -0.670976 0.1507298 -0.7039929 0.2452958 -0.5624907 -0.4097792 -0.6749192 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2371 0.146743 1.018913 -8.552407 0.1640297 0.5155861 -8.539819 0.164029702544212 0.515586137771606 -8.53981876373291 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 16.6996 14.14234 -157.267 -34.14819 1.728788 1.714075 -2.283244 5.381261 -3.300181 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.08177775 -0.7206426 -0.1418915 -0.6736868 -0.1212489 -0.7007606 0.08108361 -0.6983261 0.3177226 -0.5747315 -0.4212806 -0.6255075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2575 0.1690948 1.026901 -8.554097 0.2736473 0.5341743 -8.544868 0.273647308349609 0.53417432308197 -8.54486846923828 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 19.70263 12.29602 -157.2067 -27.03763 -0.01742554 2.268197 -7.89271 4.623521 0.6363078 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.09894188 -0.7275438 -0.1618398 -0.6593171 -0.06367397 -0.7270575 0.01836059 -0.6833715 0.3763194 -0.5922592 -0.4171643 -0.5775704 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2817 0.2024086 1.041329 -8.559 0.3682618 0.5656351 -8.557062 0.368261754512787 0.565635085105896 -8.55706214904785 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 24.3254 9.474928 -157.0355 -24.43039 0.7230198 2.452675 -11.84257 4.464608 3.439291 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.1258719 -0.7367744 -0.1915327 -0.6361095 -0.0205391 -0.7410279 -0.02933053 -0.6705195 0.4204712 -0.5990953 -0.4174158 -0.5385663 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3065 0.2423386 1.063201 -8.568976 0.4665368 0.6121466 -8.577984 0.4665367603302 0.612146615982056 -8.57798385620117 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 30.37105 8.210361 -157.1278 -23.18286 1.150125 2.274844 -13.43785 4.668551 6.602976 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.165263 -0.7338917 -0.224277 -0.6195091 0.02363065 -0.7485164 -0.07322616 -0.6586375 -0.468188 0.5956585 0.4197943 0.4997644 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3430 0.3058357 1.111804 -8.575375 0.5526124 0.6729045 -8.591648 0.552612364292145 0.672904491424561 -8.59164810180664 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 40.37817 2.869297 -154.1306 -30.64136 4.227432 3.795555 -14.95384 5.265357 7.962234 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.2154833 -0.7345645 -0.2948175 -0.571896 0.04802906 -0.7500253 -0.08695295 -0.6539075 -0.4935252 0.5915751 0.4149595 0.4840259 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3941 0.3712273 1.188305 -8.573478 0.6184976 0.7509674 -8.61075 0.618497550487518 0.750967383384705 -8.61075019836426 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 51.44469 -6.781799 -145.3447 -43.33282 9.761436 9.221043 -14.20317 5.958269 7.606172 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.2565044 -0.7248385 -0.3940684 -0.503513 0.06932072 -0.7462048 -0.07421119 -0.6579258 -0.5105261 0.5718138 0.4049319 0.4984206 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
4192 0.3889489 1.216974 -8.573953 0.7030495 0.8248949 -8.611516 0.703049540519714 0.824894905090332 -8.61151599884033 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 54.25918 -12.28834 -140.5762 -38.41803 12.63634 8.571094 -15.32868 7.288051 11.39374 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 0.2629928 -0.7241393 -0.4298813 -0.4708075 0.1185518 -0.7436757 -0.1338404 -0.6441889 -0.5666688 0.5571109 0.413981 0.4439985 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
