Time(ms) RK.x RK.y RK.z RA.x RA.y RA.z RT.x RT.y RT.z LK.x LK.y LK.z LA.x LA.y LA.z LT.x LT.y LT.z RHAngle.x RHAngle.y RHAngle.z RKAngle.x RKAngle.y RKAngle.z RAAngle.x RAAngle.y RAAngle.z LHAngle.x LHAngle.y LHAngle.z LKAngle.x LKAngle.y LKAngle.z LAAngle.x LAAngle.y LAAngle.z RHQuat.w RHQuat.x RHQuat.y RHQuat.z RKQuat.w RKQuat.x RKQuat.y RKQuat.z RAQuat.w RAQuat.x RAQuat.y RAQuat.z LHQuat.w LHQuat.x LHQuat.y LHQuat.z LKQuat.w LKQuat.x LKQuat.y LKQuat.z LAQuat.w LAQuat.x LAQuat.y LAQuat.z HQuat.w HQuat.x HQuat.y HQuat.z 
39 -0.07055819 1.003257 -8.568089 -0.1604767 0.5075724 -8.570565 -0.160476714372635 0.507572412490845 -8.57056522369385 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -12.00192 17.08017 -159.9995 -17.64047 4.14535 0.7064761 -9.035533 3.817473 -12.11979 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07778803 -0.713532 0.05305104 -0.6942675 -0.1798613 -0.6666072 0.1640649 -0.7045341 0.165649 -0.5820407 -0.3868378 -0.6958063 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
146 -0.07055819 1.003257 -8.568089 -0.1605667 0.5075889 -8.570579 -0.160566747188568 0.507588863372803 -8.57057857513428 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -12.00177 17.08805 -159.9955 -17.65128 4.144897 0.7076666 -9.028728 3.816219 -12.11952 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07779124 -0.7134908 0.05304642 -0.6943098 -0.1799172 -0.6665906 0.1641379 -0.7045186 0.1656801 -0.582032 -0.3868749 -0.6957856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
188 -0.07055819 1.003257 -8.568089 -0.160643 0.5076027 -8.570599 -0.160643041133881 0.507602691650391 -8.57059860229492 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -12.00177 17.08805 -159.9955 -17.65967 4.132216 0.7094784 -9.017711 3.812495 -12.1136 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07779124 -0.7134908 0.05304642 -0.6943098 -0.1799585 -0.6666112 0.1641987 -0.7044744 0.1656801 -0.582032 -0.3868749 -0.6957856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
223 -0.07055819 1.003257 -8.568089 -0.1606858 0.5076106 -8.570615 -0.160685762763023 0.507610559463501 -8.5706148147583 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -12.00177 17.08805 -159.9955 -17.66461 4.131133 0.7112538 -9.009471 3.818319 -12.12541 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07779124 -0.7134908 0.05304642 -0.6943098 -0.1799772 -0.6666072 0.1642392 -0.7044639 0.1656801 -0.582032 -0.3868749 -0.6957856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
253 -0.07055819 1.003257 -8.568089 -0.1607804 0.5076278 -8.570626 -0.160780370235443 0.507627844810486 -8.5706262588501 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -12.00177 17.08805 -159.9955 -17.67566 4.130968 0.7120702 -9.004375 3.817581 -12.12654 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07779124 -0.7134908 0.05304642 -0.6943098 -0.1800366 -0.6665889 0.1643116 -0.7044492 0.1656801 -0.582032 -0.3868749 -0.6957856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
286 -0.07055819 1.003257 -8.568089 -0.1608094 0.5076331 -8.570624 -0.160809352993965 0.507633090019226 -8.57062435150146 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -12.00177 17.08805 -159.9955 -17.67902 4.131361 0.7116467 -8.993297 3.817774 -12.1266 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07779124 -0.7134908 0.05304642 -0.6943098 -0.1800586 -0.6665815 0.1643298 -0.7044462 0.1656801 -0.582032 -0.3868749 -0.6957856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
320 -0.07055819 1.003257 -8.568089 -0.1608437 0.5076391 -8.570625 -0.160843685269356 0.507639050483704 -8.57062530517578 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -12.00161 17.09525 -159.9919 -17.68326 4.131593 0.711522 -8.98997 3.818247 -12.12611 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07779401 -0.7134534 0.05304223 -0.6943483 -0.1800839 -0.6665732 0.1643551 -0.7044417 0.1656801 -0.582032 -0.3868749 -0.6957856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
352 -0.07055819 1.003257 -8.568089 -0.160846 0.5076394 -8.570625 -0.16084598004818 0.507639408111572 -8.57062530517578 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -12.00161 17.09525 -159.9919 -17.68326 4.125403 0.7115127 -8.985698 3.815204 -12.1201 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07779401 -0.7134534 0.05304223 -0.6943483 -0.1800839 -0.6665732 0.1643551 -0.7044417 0.1656801 -0.582032 -0.3868749 -0.6957856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
385 -0.07055819 1.003257 -8.568089 -0.160846 0.5076394 -8.570625 -0.16084598004818 0.507639408111572 -8.57062530517578 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -12.00161 17.09525 -159.9919 -17.68326 4.125403 0.7115127 -8.985789 3.818586 -12.12583 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07779401 -0.7134534 0.05304223 -0.6943483 -0.1800839 -0.6665732 0.1643551 -0.7044417 0.1656801 -0.582032 -0.3868749 -0.6957856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
418 -0.07055819 1.003257 -8.568089 -0.160846 0.5076394 -8.570625 -0.16084598004818 0.507639408111572 -8.57062530517578 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -12.00161 17.09525 -159.9919 -17.68326 4.125403 0.7115127 -8.985789 3.818586 -12.12583 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07779401 -0.7134534 0.05304223 -0.6943483 -0.1800839 -0.6665732 0.1643551 -0.7044417 0.1656801 -0.582032 -0.3868749 -0.6957856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
445 -0.07055819 1.003257 -8.568089 -0.160846 0.5076394 -8.570625 -0.16084598004818 0.507639408111572 -8.57062530517578 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -12.00161 17.09525 -159.9919 -17.68326 4.125403 0.7115127 -8.985789 3.818586 -12.12583 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07779401 -0.7134534 0.05304223 -0.6943483 -0.1800839 -0.6665732 0.1643551 -0.7044417 0.1656801 -0.582032 -0.3868749 -0.6957856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
478 -0.07055819 1.003257 -8.568089 -0.160846 0.5076394 -8.570625 -0.16084598004818 0.507639408111572 -8.57062530517578 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -12.00161 17.09525 -159.9919 -17.68326 4.125403 0.7115127 -8.985789 3.818586 -12.12583 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07779401 -0.7134534 0.05304223 -0.6943483 -0.1800839 -0.6665732 0.1643551 -0.7044417 0.1656801 -0.582032 -0.3868749 -0.6957856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
511 -0.07055819 1.003257 -8.568089 -0.160846 0.5076394 -8.570625 -0.16084598004818 0.507639408111572 -8.57062530517578 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -12.00161 17.09525 -159.9919 -17.68326 4.125403 0.7115127 -8.985789 3.818586 -12.12583 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07779401 -0.7134534 0.05304223 -0.6943483 -0.1800839 -0.6665732 0.1643551 -0.7044417 0.1656801 -0.582032 -0.3868749 -0.6957856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
543 -0.07055819 1.003257 -8.568089 -0.160846 0.5076394 -8.570625 -0.16084598004818 0.507639408111572 -8.57062530517578 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -12.00161 17.09525 -159.9919 -17.68326 4.125403 0.7115127 -8.985789 3.818586 -12.12583 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07779401 -0.7134534 0.05304223 -0.6943483 -0.1800839 -0.6665732 0.1643551 -0.7044417 0.1656801 -0.582032 -0.3868749 -0.6957856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
576 -0.07055819 1.003257 -8.568089 -0.160846 0.5076394 -8.570625 -0.16084598004818 0.507639408111572 -8.57062530517578 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -12.00161 17.09525 -159.9919 -17.68326 4.125403 0.7115127 -8.985789 3.818586 -12.12583 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07779401 -0.7134534 0.05304223 -0.6943483 -0.1800839 -0.6665732 0.1643551 -0.7044417 0.1656801 -0.582032 -0.3868749 -0.6957856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
606 -0.07055819 1.003257 -8.568089 -0.1608406 0.5076392 -8.570625 -0.160840645432472 0.507639169692993 -8.57062530517578 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -12.00129 17.11192 -159.9834 -17.68326 4.125403 0.7115127 -8.985789 3.818586 -12.12583 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07780065 -0.7133665 0.05303257 -0.6944376 -0.1800839 -0.6665732 0.1643551 -0.7044417 0.1656801 -0.582032 -0.3868749 -0.6957856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
639 -0.07055819 1.003257 -8.568089 -0.1608437 0.5076394 -8.570625 -0.160843685269356 0.507639408111572 -8.57062530517578 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -12.00113 17.11893 -159.9798 -17.68326 4.111065 0.7115095 -8.985515 3.810773 -12.11253 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.0778034 -0.7133299 0.05302839 -0.6944751 -0.1800839 -0.6665732 0.1643551 -0.7044417 0.1656801 -0.582032 -0.3868749 -0.6957856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
674 -0.07055819 1.003257 -8.568089 -0.1608429 0.5076393 -8.570625 -0.160842925310135 0.507639288902283 -8.57062530517578 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -12.00095 17.12771 -159.9753 -17.68326 4.105027 0.7115126 -8.985698 3.815298 -12.12022 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07780694 -0.7132842 0.0530232 -0.6945221 -0.1800839 -0.6665732 0.1643551 -0.7044417 0.1656801 -0.582032 -0.3868749 -0.6957856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
706 -0.07055819 1.003257 -8.568089 -0.160833 0.5076377 -8.570604 -0.160833016037941 0.507637739181519 -8.57060432434082 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -12.00012 17.16804 -159.9547 -17.68338 4.104596 0.7093524 -8.970256 3.823755 -12.12028 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07782306 -0.7130738 0.05299954 -0.6947381 -0.1800938 -0.6665314 0.1643446 -0.7044812 0.1657879 -0.5819389 -0.386937 -0.6958032 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
739 -0.07055819 1.003257 -8.568089 -0.1608376 0.5076383 -8.570606 -0.160837590694427 0.507638335227966 -8.57060623168945 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -11.99963 17.19174 -159.9426 -17.68341 4.069891 0.7093716 -8.955638 3.804179 -12.08778 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07783245 -0.7129502 0.05298574 -0.6948649 -0.1800938 -0.6665314 0.1643446 -0.7044812 0.1658608 -0.5819182 -0.3870241 -0.6957548 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
769 -0.07055819 1.003257 -8.568089 -0.1608429 0.5076393 -8.570607 -0.160842925310135 0.507639288902283 -8.57060718536377 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -11.99947 17.19962 -159.9386 -17.68338 4.049506 0.7093655 -8.955913 3.811949 -12.10105 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07783558 -0.7129091 0.05298119 -0.6949072 -0.1800938 -0.6665314 0.1643446 -0.7044812 0.1658608 -0.5819182 -0.3870241 -0.6957548 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
815 -0.07055819 1.003257 -8.568089 -0.1608452 0.5076398 -8.570607 -0.160845220088959 0.507639765739441 -8.57060718536377 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -11.99947 17.19962 -159.9386 -17.68341 4.042729 0.7093544 -8.956157 3.819353 -12.11369 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07783558 -0.7129091 0.05298119 -0.6949072 -0.1800938 -0.6665314 0.1643446 -0.7044812 0.1658608 -0.5819182 -0.3870241 -0.6957548 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
847 -0.07055819 1.003257 -8.568089 -0.1608452 0.5076398 -8.570607 -0.160845220088959 0.507639765739441 -8.57060718536377 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -11.99947 17.19962 -159.9386 -17.68341 4.042729 0.7093544 -8.956309 3.823053 -12.11998 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07783558 -0.7129091 0.05298119 -0.6949072 -0.1800938 -0.6665314 0.1643446 -0.7044812 0.1658608 -0.5819182 -0.3870241 -0.6957548 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
879 -0.07055819 1.003257 -8.568089 -0.1608452 0.5076398 -8.570607 -0.160845220088959 0.507639765739441 -8.57060718536377 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -11.99947 17.19962 -159.9386 -17.68341 4.042729 0.7093544 -8.956309 3.823053 -12.11998 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07783558 -0.7129091 0.05298119 -0.6949072 -0.1800938 -0.6665314 0.1643446 -0.7044812 0.1658608 -0.5819182 -0.3870241 -0.6957548 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
911 -0.07055819 1.003257 -8.568089 -0.1608452 0.5076398 -8.570607 -0.160845220088959 0.507639765739441 -8.57060718536377 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -11.99947 17.19962 -159.9386 -17.68341 4.042729 0.7093544 -8.956309 3.823053 -12.11998 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07783558 -0.7129091 0.05298119 -0.6949072 -0.1800938 -0.6665314 0.1643446 -0.7044812 0.1658608 -0.5819182 -0.3870241 -0.6957548 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
940 -0.07055819 1.003257 -8.568089 -0.1608452 0.5076398 -8.570607 -0.160845220088959 0.507639765739441 -8.57060718536377 0.02008134 0.9962505 -8.792835 0.02141496 0.6010983 -8.775578 0.169497 0.5192094 -8.778706 -11.99947 17.19962 -159.9386 -17.68341 4.042729 0.7093544 -8.956309 3.823053 -12.11998 0 18.24931 -158.4667 0 0 0 0 -0.9530287 -0.9530293 -0.07783558 -0.7129091 0.05298119 -0.6949072 -0.1800938 -0.6665314 0.1643446 -0.7044812 0.1658608 -0.5819182 -0.3870241 -0.6957548 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
